timestamp,BPM
1744813665.4185643,102
1744813669.292137,117
1744813717.9230244,120
1744813718.6658368,114
1744813719.1283786,115
1744813720.0581348,106
1744813720.9301043,100
1744813721.5940802,97
1744813722.0162606,98
1744813728.270728,25
1744813730.3003106,25
1744813739.6161268,89
1744813740.575792,85
1744813741.1248157,86
1744813741.4839272,90
1744813741.7577872,97
1744813742.434821,96
1744813742.852336,101
1744813743.3197825,105
1744813743.8194206,108
1744813744.1202748,116
1744813744.6608033,119
1744813745.1204352,131
1744813745.479833,138
1744813746.0012534,133
1744813746.3213434,131
1744813746.7025287,140
1744813747.02317,143
1744813747.403366,146
1744813747.8986754,146
1744813749.563658,110
1744813750.5647233,101
1744813751.6444757,92
1744813752.344511,87
1744813752.7654245,88
1744813753.9642355,78
1744813754.6861105,75
1744813755.4437962,71
1744813756.1439009,68
1744813756.5539808,69
1744814000.6578052,87.0,0
1744814001.0616426,91.0,0
1744814001.7680821,90.0,0
1744814002.1732073,94.0,0
1744814002.6768756,97.0,0
1744814002.9804485,103.0,0
1744814003.2832727,111.0,0
1744814003.5852158,121.0,0
1744814003.7876852,132.0,0
1744814004.1898942,142.0,0
1744814004.3977032,157.0,0
1744814004.8051558,158.0,0
1744814005.109944,181.0,0
1744814005.3139403,191.0,0
1744814005.7195823,198.0,0
1744814006.3247094,181.0,0
1744814007.1341805,153.0,0
1744814007.7402039,144.0,0
1744814008.2468567,134.0,0
1744814008.7537432,131.0,0
1744814009.061014,129.0,0
1744814009.36616,133.0,0
1744814010.0732582,119.0,0
1744814012.0876632,89.0,0
1744814016.1126425,101.0,0
1744814016.6189854,103.0,0
1744814016.9237638,108.0,0
1744814017.3267622,111.0,0
1744814017.6307647,118.0,0
1744814018.5386214,112.0,0
1744814019.3464313,107.0,0
1744814019.8501887,109.0,0
1744814020.5604253,106.0,0
1744814021.3679855,103.0,0
1744814021.77407,106.0,0
1744814022.0860767,110.0,0
1744814022.391978,109.0,0
1744814022.6977212,112.0,0
1744814026.2222757,150.0,0
1744814026.5254254,155.0,0
1744814026.7273657,160.0,0
1744814027.0303292,167.0,0
1744814027.437242,164.0,0
1744814027.7427266,170.0,0
1744814028.0466495,176.0,0
1744814028.2508001,185.0,0
1744814028.5528536,194.0,0
1744814028.8557487,200.0,0
1744814029.1613588,202.0,0
1744814029.8704827,178.0,0
1744814030.2756596,169.0,0
1744814030.781946,160.0,0
1744814031.1875923,161.0,0
1744814031.491039,160.0,0
1744814031.794106,156.0,0
1744814032.1982872,153.0,0
1744814032.500817,150.0,0
1744814033.0072932,141.0,0
1744814033.4121993,142.0,0
1744814033.6170092,159.0,0
1744814034.0207262,160.0,0
1744814034.4243252,165.0,0
1744814034.6265326,173.0,0
1744814034.9307766,175.0,0
1744814035.2339575,175.0,0
1744814035.7400417,169.0,0
1744814035.9446871,172.0,0
1744814036.7501895,162.0,0
1744814037.2565904,154.0,0
1744814038.1610677,133.0,0
1744814038.6665275,129.0,0
1744814038.9733658,131.0,0
1744814039.2797163,130.0,0
1744814039.4834511,130.0,0
1744814039.989321,128.0,0
1744814040.1928036,132.0,0
1744814040.4958065,133.0,0
1744814041.1022458,137.0,0
1744814041.906858,129.0,0
1744814043.0138686,123.0,0
1744814043.8178847,115.0,0
1744814044.625137,106.0,0
1744814045.430983,97.0,0
1744814045.9348803,94.0,0
1744814046.2400162,95.0,0
1744814046.5426075,95.0,0
1744814046.7461262,95.0,0
1744814047.0512195,101.0,0
1744814047.2565627,112.0,0
1744814048.1660674,115.0,0
1744814048.8710375,118.0,0
1744814049.980295,111.0,0
1744814050.888475,109.0,0
1744814051.393333,108.0,0
1744814051.7992017,108.0,0
1744814052.0042756,108.0,0
1744814052.3111835,108.0,0
1744814052.6142554,107.0,0
1744814052.9199758,107.0,0
1744814053.12258,121.0,0
1744814053.4333277,131.0,0
1744814053.7363088,160.0,0
1744814054.0415342,194.0,0
1744814054.245801,214.0,0
1744814054.4504051,220.0,0
1744814054.7551644,222.0,0
1744814055.0603974,218.0,0
1744814055.2655916,222.0,0
1744814055.6707742,216.0,0
1744814055.9759614,208.0,0
1744814056.2803419,215.0,0
1744814056.482943,215.0,0
1744814056.885974,211.0,0
1744814057.090094,211.0,0
1744814057.5966065,192.0,0
1744814058.0022094,185.0,0
1744814058.7094078,165.0,0
1744814059.5150535,141.0,0
1744814062.0266721,94.0,0
1744814065.34567,140.0,0
1744814066.0529547,130.0,0
1744814066.6577141,125.0,0
1744814067.164295,125.0,0
1744814067.6703148,122.0,0
1744814067.9756823,124.0,0
1744814068.681536,117.0,0
1744814069.18812,116.0,0
1744814069.5910745,116.0,0
1744814069.895521,119.0,0
1744814070.3008437,121.0,0
1744814070.8042653,126.0,0
1744814071.1079738,135.0,0
1744814071.4123464,141.0,0
1744814071.9150968,142.0,0
1744814072.2206378,142.0,0
1744814072.5235348,158.0,0
1744814072.7265508,167.0,0
1744814073.0304368,176.0,0
1744814073.2336948,178.0,0
1744814073.8389373,169.0,0
1744814074.2444286,174.0,0
1744814074.8490539,162.0,0
1744814075.356019,152.0,0
1744814075.5606935,161.0,0
1744814075.965086,159.0,0
1744814076.2697039,160.0,0
1744814076.5753152,160.0,0
1744814076.9822998,152.0,0
1744814077.5886528,139.0,0
1744814077.8918922,145.0,0
1744814078.2979474,147.0,0
1744814078.6015635,158.0,0
1744814078.9065962,167.0,0
1744814079.1104996,169.0,0
1744814079.8190193,157.0,0
1744814080.222173,151.0,0
1744814080.425325,152.0,0
1744814081.2335486,140.0,0
1744814081.738182,144.0,0
1744814082.0422728,147.0,0
1744814082.5458417,143.0,0
1744814082.850514,140.0,0
1744814083.1553333,139.0,0
1744814083.459094,139.0,0
1744814331.4522934,107.0,0
1744814333.0624642,89.0,0
1744814334.171313,84.0,0
1744814334.7764626,83.0,0
1744814335.1795785,85.0,0
1744814335.8856652,82.0,0
1744814336.3919036,83.0,0
1744814338.8058603,66.0,0
1744814340.215462,60.0,0
1744814344.443074,92.0,0
1744814344.8479347,95.0,0
1744814345.353394,97.0,0
1744814346.361223,92.0,0
1744814347.3685782,87.0,0
1744814348.175101,86.0,0
1744814348.8820202,85.0,0
1744814349.6887324,83.0,0
1744814350.5955954,80.0,0
1744814351.2010622,81.0,0
1744814352.1081128,78.0,0
1744814352.9129725,74.0,0
1744814353.419181,75.0,0
1744814354.3270075,75.0,0
1744814355.435801,74.0,0
1744814356.1422422,74.0,0
1744814356.6453435,77.0,0
1744814360.369555,82.0,0
1744814361.3771427,79.0,0
1744814362.4857035,75.0,0
1744814363.2936754,75.0,0
1744814364.50394,70.0,0
1744814365.5122569,68.0,0
1744814366.9246593,63.0,0
1744814367.728527,62.0,0
1744814374.4699404,48.0,0
1744814375.176822,50.0,0
1744814375.683268,54.0,0
1744814375.9881372,59.0,0
1744814376.694287,62.0,0
1744814377.2010038,67.0,0
1744814378.2082827,69.0,0
1744814378.8144438,74.0,0
1744814380.326744,72.0,0
1744814381.5378058,72.0,0
1744814382.242906,77.0,0
1744814382.647093,80.0,0
1744814382.9510834,82.0,0
1744814383.2561033,82.0,0
1744814383.4585166,88.0,0
1744814384.4685774,82.0,0
1744814385.0742295,87.0,0
1744814385.3768618,90.0,0
1744814385.7819583,109.0,0
1744814385.9867797,132.0,0
1744814386.3910794,144.0,0
1744814386.6949492,147.0,0
1744814386.9994478,149.0,0
1744814387.606415,137.0,0
1744814387.910743,133.0,0
1744814388.3136623,155.0,0
1744814390.0283508,120.0,0
1744814391.3377006,100.0,0
1744814392.2440553,92.0,0
1744814393.8562305,76.0,0
1744814394.8640146,70.0,0
1744814396.97659,58.0,0
1744814398.4866843,52.0,0
1744814399.4929419,50.0,0
1744814400.0996037,49.0,0
1744814400.504236,49.0,0
1744814400.9078739,55.0,0
1744814401.3107271,60.0,0
1744814401.6141343,64.0,0
1744814402.1172829,73.0,0
1744814402.6211722,77.0,0
1744814402.9247155,102.0,0
1744814403.4289484,121.0,0
1744814403.7341082,140.0,0
1744814405.3447046,113.0,0
1744814406.352007,103.0,0
1744814406.8554401,100.0,0
1744814407.3597908,98.0,0
1744814408.2669847,90.0,0
1744814409.1758327,84.0,0
1744814409.6807585,84.0,0
1744814410.0835466,83.0,0
1744814410.2872436,87.0,0
1744814410.5897665,88.0,0
1744814411.797319,92.0,0
1744814412.906376,91.0,0
1744814413.9152741,85.0,0
1744814414.92312,79.0,0
1744814415.6276534,82.0,0
1744814416.0293005,87.0,0
1744814422.774338,62.0,0
1744814426.2999582,145.0,0
1744814426.70571,145.0,0
1744814427.5118148,134.0,0
1744814428.117784,127.0,0
1744814428.6240754,127.0,0
1744814428.8265414,131.0,0
1744814429.129002,133.0,0
1744814429.4317842,137.0,0
1744814429.9344702,136.0,0
1744814430.540361,129.0,0
1744814430.9444828,130.0,0
1744814432.154175,111.0,0
1744817797.910114,197.0,0
1744817798.214502,199.0,0
1744817799.123613,163.0,0
1744817799.73079,151.0,0
1744817800.1342285,150.0,0
1744817800.5369906,144.0,0
1744817800.8396719,145.0,0
1744817801.141811,143.0,0
1744817801.4436288,144.0,0
1744817801.7482028,146.0,0
1744817801.9517903,148.0,0
1744817802.2561443,148.0,0
1744817802.4591415,181.0,0
1744817802.7615612,201.0,0
1744817803.1668534,198.0,0
1744817803.571583,196.0,0
1744817804.3774652,168.0,0
1744817804.8805525,164.0,0
1744817805.1846836,159.0,0
1744817805.4873915,160.0,0
1744817805.6905262,160.0,0
1744817805.9937155,160.0,0
1744817806.299328,156.0,0
1744817806.502694,156.0,0
1744817806.8068726,163.0,0
1744817807.2123063,167.0,0
1744817807.4150095,196.0,0
1744817807.9221382,195.0,0
1744817808.2259963,200.0,0
1744817826.6306548,162.0,0
1744817826.9340682,163.0,0
1744817827.2381318,169.0,0
1744817827.8437889,156.0,0
1744817828.2486277,155.0,0
1744817829.557344,125.0,0
1744817831.2686307,97.0,0
1744817832.6791224,83.0,0
1744817833.4838684,78.0,0
1744817834.289965,74.0,0
1744817834.6936483,74.0,0
1744817834.9982586,74.0,0
1744817835.6044824,71.0,0
1744817836.40909,70.0,0
1744817837.115974,67.0,0
1744817837.721723,73.0,0
1744817839.7338965,71.0,0
1744817841.1400669,71.0,0
1744817841.944491,71.0,0
1744817842.547922,72.0,0
1744817842.9507318,72.0,0
1744817843.3540456,71.0,0
1744817843.5572095,74.0,0
1744817843.859015,79.0,0
1744817844.161222,85.0,0
1744817844.4632652,88.0,0
1744817845.1671317,110.0,0
1744817845.7702293,129.0,0
1744817846.072683,144.0,0
1744817846.3754432,156.0,0
1744817846.6783712,163.0,0
1744817846.981239,166.0,0
1744817847.6889186,147.0,0
1744817848.1921725,139.0,0
1744817848.4976184,137.0,0
1744817848.7001421,140.0,0
1744817849.4073641,141.0,0
1744817849.8136914,147.0,0
1744817850.2209733,145.0,0
1744817850.7270546,138.0,0
1744817851.2317863,129.0,0
1744817851.634863,129.0,0
1744817852.0374603,138.0,0
1744817852.340614,144.0,0
1744817853.1455114,130.0,0
1744817853.5524554,124.0,0
1744817854.2572773,123.0,0
1744817855.1638706,112.0,0
1744817855.6671877,108.0,0
1744817856.8744297,96.0,0
1744817857.6802466,93.0,0
1744817858.384642,88.0,0
1744817858.8886063,87.0,0
1744817859.393017,84.0,0
1744817859.696801,91.0,0
1744817859.9993827,92.0,0
1744817860.6042383,94.0,0
1744817861.0087035,102.0,0
1744817861.210757,108.0,0
1744817862.1162553,114.0,0
1744817862.8228695,115.0,0
1744817863.329329,121.0,0
1744817863.833161,121.0,0
1744817864.2356262,124.0,0
1744817864.4394288,125.0,0
1744817864.744101,127.0,0
1744817864.9466512,136.0,0
1744817865.7516947,125.0,0
1744817866.3561082,118.0,0
1744817886.555413,45.0,0
1744817887.3629794,47.0,0
1744817889.374706,44.0,0
1744817890.8823614,44.0,0
1744817891.8917887,45.0,0
1744817893.904668,43.0,0
1744817895.1125388,43.0,0
1744817896.0183575,44.0,0
1744817896.522469,47.0,0
1744817896.825396,51.0,0
1744817897.830865,53.0,0
1744817898.4365609,54.0,0
1744817899.3439553,60.0,0
1744817900.2516928,64.0,0
1744817901.559212,61.0,0
1744817902.364937,70.0,0
1744817903.2724462,72.0,0
1744817903.8777204,75.0,0
1744817904.5818613,74.0,0
1744817905.1868608,72.0,0
1744817905.6914856,76.0,0
1744817906.3970044,75.0,0
1744817906.901493,79.0,0
1744817907.102697,86.0,0
1744817907.4052227,103.0,0
1744817907.6091733,114.0,0
1744817908.6154408,112.0,0
1744817910.3264759,93.0,0
1744817921.291031,29.0,0
1744817922.4993389,30.0,0
1744817923.3046248,32.0,0
1744817924.111812,35.0,0
1744817924.6164162,38.0,0
1744817925.421967,41.0,0
1744817925.9272645,46.0,0
1744817926.3321207,53.0,0
1744817926.635251,64.0,0
1744817926.9401584,77.0,0
1744817927.2432983,101.0,0
1744817927.9493012,111.0,0
1744817929.0552087,103.0,0
1744817929.9626899,102.0,0
1744817930.5683072,100.0,0
1744817931.5764894,97.0,0
1744817932.182656,95.0,0
1744817932.6872017,94.0,0
1744817933.2937098,88.0,0
1744817933.89962,87.0,0
1744817934.201617,86.0,0
1744817935.6087651,77.0,0
